X,Y,Z,Red,Green,Blue
412443.09939,4265863.33844,2169.24075,168,164,155
412442.94660,4265863.32399,2169.24290,156,155,150
412439.90830,4265863.05822,2169.50831,40,31,26
412441.10413,4265863.15898,2169.31075,169,156,147
412439.62217,4265862.74412,2169.50008,68,55,39
412439.07388,4265863.29556,2169.37785,36,30,30
412439.55810,4265863.04563,2169.26925,167,157,147
412439.43437,4265863.03502,2169.27687,123,114,107
412439.43407,4265863.03735,2169.27722,139,132,124
412439.40934,4265862.86154,2169.25930,153,139,126
412439.09494,4265862.60405,2169.34272,84,71,65
412439.48923,4265863.04636,2169.11901,180,176,167
412438.78977,4265862.38379,2169.23209,50,51,55
412439.09531,4265862.58636,2169.08373,110,99,95
412438.58367,4265862.40912,2169.18999,59,67,70
412439.15990,4265862.44472,2169.02166,71,67,64
412439.35453,4265862.23563,2168.99807,86,79,73
412438.96374,4265862.07363,2169.07540,93,89,88
412438.49200,4265862.83696,2168.95628,59,69,79
412438.90083,4265862.05852,2169.04811,55,53,56
412438.64113,4265861.98799,2169.06658,81,71,69
412438.59891,4265862.00087,2169.06078,68,64,61
412439.91671,4265861.34951,2168.87669,138,140,137
412439.05290,4265861.93292,2168.91208,88,84,81
412439.89234,4265861.09929,2168.90930,141,136,132
412438.80955,4265861.94220,2168.89887,113,108,105
412438.68645,4265861.97250,2168.91870,110,102,99
412439.22472,4265861.64493,2168.85689,106,102,99
412438.27149,4265861.92638,2168.98399,68,60,58
412439.04764,4265861.65234,2168.86757,119,118,116
412438.53337,4265861.70376,2168.95401,143,140,135
412439.28051,4265861.35108,2168.85520,144,139,133
412438.75387,4265861.84603,2168.83329,98,102,103
412438.78267,4265861.59613,2168.84913,78,79,81
412438.53805,4265861.60376,2168.89132,97,101,104
412438.69031,4265861.67318,2168.80469,65,66,70
412439.20841,4265861.10966,2168.80120,125,126,121
412438.10044,4265861.65107,2168.86150,145,144,142
412438.25134,4265861.48561,2168.86807,123,123,121
412438.63849,4265861.21691,2168.80815,110,112,109
412439.01065,4265861.06858,2168.74246,71,72,77
412438.43856,4265861.25164,2168.79936,89,89,89
412439.04455,4265860.45529,2168.89621,89,92,73
