"X","Y","Z","Red","Green","Blue"
412350.94,4265894.13,2172.97,0,0,0
412349.59,4265893.80,2173.00,0,0,0
412348.69,4265891.75,2172.99,0,0,0
412350.02,4265892.08,2172.98,0,0,0
412351.32,4265892.40,2172.96,0,0,0
412350.86,4265891.67,2172.94,0,0,0
412349.54,4265891.34,2172.98,0,0,0
412348.92,4265884.09,2173.13,0,0,0
412350.23,4265884.41,2173.11,0,0,0
412351.56,4265884.74,2173.11,0,0,0
412350.48,4265883.81,2173.11,0,0,0
412349.18,4265883.49,2173.13,0,0,0
412349.30,4265881.61,2173.21,0,0,0
412350.61,4265881.92,2173.19,0,0,0
412351.25,4265881.50,2173.19,0,0,0
412349.90,4265881.17,2173.22,0,0,0
412348.58,4265880.84,2173.26,0,0,0
412348.75,4265879.08,2173.40,0,0,0
412350.07,4265879.40,2173.36,0,0,0
412351.39,4265879.73,2173.34,0,0,0
412350.88,4265879.06,2173.35,0,0,0
412349.56,4265878.73,2173.38,0,0,0
412349.37,4265876.78,2173.58,0,0,0
412350.66,4265877.09,2173.56,0,0,0
412350.55,4265876.49,2173.59,0,0,0
412349.23,4265876.16,2173.61,0,0,0
412348.75,4265869.75,2176.76,0,0,0
412350.02,4265870.05,2176.90,0,0,0
412351.32,4265870.37,2177.02,0,0,0
412351.63,4265869.92,2177.23,0,0,0
412350.35,4265869.61,2177.08,0,0,0
412349.04,4265869.29,2176.94,0,0,0
412348.77,4265867.56,2177.42,0,0,0
412350.06,4265867.88,2177.51,0,0,0
412351.33,4265868.19,2177.63,0,0,0
412350.77,4265867.58,2177.74,0,0,0
412349.48,4265867.25,2177.61,0,0,0
412350.89,4265865.54,2178.19,0,0,0
412349.97,4265863.80,2177.88,0,0,0
412351.29,4265864.12,2177.76,0,0,0
412351.12,4265863.59,2177.63,0,0,0
412349.79,4265863.28,2177.75,0,0,0
412348.33,4265861.31,2177.46,0,0,0
412349.66,4265861.63,2177.33,0,0,0
412350.99,4265861.95,2177.19,0,0,0
412351.03,4265861.54,2177.03,0,0,0
412349.70,4265861.21,2177.17,0,0,0
412348.36,4265860.88,2177.30,0,0,0
412348.99,4265859.67,2176.90,0,0,0
412350.35,4265860.00,2176.76,0,0,0
412350.64,4265859.56,2176.57,0,0,0
412349.30,4265859.24,2176.69,0,0,0
412351.22,4265856.38,2173.65,0,0,0
412350.94,4265855.83,2173.63,0,0,0
412349.61,4265855.50,2173.63,0,0,0
412348.62,4265853.96,2173.60,0,0,0
412349.92,4265854.28,2173.60,0,0,0
412351.24,4265854.59,2173.59,0,0,0
412351.15,4265854.08,2173.57,0,0,0
412349.82,4265853.75,2173.57,0,0,0
412348.49,4265853.42,2173.57,0,0,0
412348.67,4265852.15,2173.52,0,0,0
412349.96,4265852.46,2173.55,0,0,0
412351.27,4265852.78,2173.53,0,0,0
412350.39,4265852.08,2173.51,0,0,0
412349.08,4265851.75,2173.48,0,0,0
412349.18,4265850.48,2173.44,0,0,0
412350.51,4265850.80,2173.47,0,0,0
412351.20,4265850.48,2173.44,0,0,0
412349.86,4265850.16,2173.42,0,0,0
412348.55,4265849.84,2173.40,0,0,0
412348.92,4265848.71,2173.40,0,0,0
412350.21,4265849.02,2173.40,0,0,0
